"# Reference points along X2 pathway, 
#
# distance is distance from golden gate in kilometers
# x and y are in meters UTM zone 10 (EPSG 26910)
# path is whether the X2 path is traced on the 'sac' or 'sjr' or 'bay'.",,,,
point,path,distance,x,y
518,bay,10360,551304.9048,4192602.3192
519,bay,10380,551294.6612,4192619.4968
520,bay,10400,551284.4002,4192636.6639
521,bay,10420,551274.0654,4192653.7867
522,bay,10440,551263.7305,4192670.9096
523,bay,10460,551253.3957,4192688.0324
524,bay,10480,551243.0442,4192705.1451
525,bay,10500,551232.6293,4192722.2193
526,bay,10520,551222.2144,4192739.2936
527,bay,10540,551211.7995,4192756.3678
528,bay,10560,551201.3846,4192773.4421
529,bay,10580,551190.9061,4192790.4774
530,bay,10600,551180.4238,4192807.5103
531,bay,10620,551169.9415,4192824.5433
532,bay,10640,551159.4592,4192841.5762
533,bay,10660,551148.9533,4192858.5945
534,bay,10680,551138.3665,4192875.5627
535,bay,10700,551127.7797,4192892.5310
536,bay,10720,551117.0547,4192909.4121
537,bay,10740,551106.3203,4192926.2872
538,bay,10760,551095.5011,4192943.1080
539,bay,10780,551084.6257,4192959.8928
540,bay,10800,551073.7216,4192976.6586
541,bay,10820,551062.7122,4192993.3558
542,bay,10840,551051.7029,4193010.0529
543,bay,10860,551040.5956,4193026.6849
544,bay,10880,551029.4595,4193043.2978
545,bay,10900,551018.2914,4193059.8891
546,bay,10920,551007.0360,4193076.4213
547,bay,10940,550995.7806,4193092.9536
548,bay,10960,550984.4483,4193109.4331
549,bay,10980,550973.0813,4193125.8888
550,bay,11000,550961.7116,4193142.3427
551,bay,11020,550950.2411,4193158.7265
552,bay,11040,550938.7706,4193175.1102
553,bay,11060,550927.2775,4193191.4781
554,bay,11080,550915.7198,4193207.8004
555,bay,11100,550904.1620,4193224.1228
556,bay,11120,550892.5414,4193240.4003
557,bay,11140,550880.9111,4193256.6711
558,bay,11160,550869.2454,4193272.9163
559,bay,11180,550857.5193,4193289.1181
560,bay,11200,550845.7932,4193305.3199
561,bay,11220,550834.0670,4193321.5217
562,bay,11240,550822.3409,4193337.7235
563,bay,11260,550810.6148,4193353.9253
564,bay,11280,550798.8025,4193370.0643
565,bay,11300,550786.9840,4193386.1988
566,bay,11320,550775.1654,4193402.3333
567,bay,11340,550763.3469,4193418.4678
568,bay,11360,550751.5283,4193434.6023
569,bay,11380,550739.6842,4193450.7180
570,bay,11400,550727.8228,4193466.8210
571,bay,11420,550715.9614,4193482.9241
572,bay,11440,550704.1000,4193499.0271
573,bay,11460,550692.2387,4193515.1301
574,bay,11480,550680.3773,4193531.2332
575,bay,11500,550668.5159,4193547.3362
576,bay,11520,550656.6545,4193563.4392
577,bay,11540,550644.7931,4193579.5423
578,bay,11560,550632.9317,4193595.6453
579,bay,11580,550621.0704,4193611.7483
580,bay,11600,550609.2090,4193627.8514
581,bay,11620,550597.3476,4193643.9544
582,bay,11640,550585.4862,4193660.0574
583,bay,11660,550573.6868,4193676.2059
584,bay,11680,550561.8894,4193692.3559
585,bay,11700,550550.0919,4193708.5058
586,bay,11720,550538.2970,4193724.6575
587,bay,11740,550526.5676,4193740.8569
588,bay,11760,550514.8381,4193757.0563
589,bay,11780,550503.1087,4193773.2557
590,bay,11800,550491.4246,4193789.4878
591,bay,11820,550479.7857,4193805.7524
592,bay,11840,550468.1469,4193822.0169
593,bay,11860,550456.5080,4193838.2815
594,bay,11880,550444.9334,4193854.5918
595,bay,11900,550433.4098,4193870.9382
596,bay,11920,550421.8861,4193887.2846
597,bay,11940,550410.3625,4193903.6310
598,bay,11960,550398.9519,4193920.0565
599,bay,11980,550387.5586,4193936.4941
600,bay,12000,550376.1653,4193952.9316
601,bay,12020,550364.8243,4193969.4050
